pcode1,pcode2,pcode3,match_shape,TF
VE07,VE0709,VE070903,VE070903,TRUE
VE07,VE0710,VE071001,VE071001,TRUE
VE07,VE0710,VE071003,VE071003,TRUE
VE07,VE0711,VE071101,VE071101,TRUE
VE08,VE0801,VE080101,VE080101,TRUE
VE08,VE0802,VE080201,VE080201,TRUE
VE08,VE0802,VE080202,VE080202,TRUE
VE08,VE0803,VE080301,VE080301,TRUE
VE08,VE0803,VE080302,VE080302,TRUE
VE08,VE0804,VE080402,VE080402,TRUE
VE08,VE0804,VE080403,VE080403,TRUE
VE08,VE0805,VE080501,VE080501,TRUE
VE08,VE0806,VE080601,VE080601,TRUE
VE08,VE0806,VE080602,VE080602,TRUE
VE08,VE0807,VE080701,VE080701,TRUE
VE08,VE0808,VE080801,VE080801,TRUE
VE08,VE0809,VE080901,VE080901,TRUE
VE08,VE0810,VE081001,VE081001,TRUE
VE08,VE0811,VE081101,VE081101,TRUE
VE08,VE0811,VE081102,VE081102,TRUE
VE08,VE0811,VE081104,VE081104,TRUE
VE08,VE0811,VE081105,VE081105,TRUE
VE08,VE0811,VE081106,VE081106,TRUE
VE08,VE0812,VE081201,VE081201,TRUE
VE08,VE0813,VE081301,VE081301,TRUE
VE08,VE0814,VE081401,VE081401,TRUE
VE08,VE0814,VE081404,VE081404,TRUE
VE08,VE0814,VE081405,VE081405,TRUE
VE08,VE0814,VE081407,VE081407,TRUE
VE08,VE0814,VE081408,VE081408,TRUE
VE09,VE0901,VE090102,VE090102,TRUE
VE09,VE0902,VE090201,VE090201,TRUE
VE09,VE0904,VE090401,VE090401,TRUE
VE09,VE0906,VE090601,VE090601,TRUE
VE09,VE0907,VE090701,VE090701,TRUE
VE09,VE0908,VE090801,VE090801,TRUE
VE09,VE0908,VE090803,VE090803,TRUE
VE09,VE0909,VE090901,VE090901,TRUE
VE10,VE1001,VE100101,VE100101,TRUE
VE10,VE1002,VE100201,VE100201,TRUE
VE10,VE1002,VE100202,VE100202,TRUE
VE10,VE1002,VE100204,VE100204,TRUE
VE10,VE1003,VE100301,VE100301,TRUE
VE10,VE1003,VE100302,VE100302,TRUE
VE10,VE1004,VE100401,VE100401,TRUE
VE10,VE1004,VE100402,VE100402,TRUE
VE10,VE1004,VE100403,VE100403,TRUE
