pcode3,beneficiarios,educacion_ben,nutricion_ben,proteccionGBV_ben,proteccionGeneral_ben,proteccionNNA_ben,salud_ben,seguridad_alimentaria_ben,wash_ben,org_count,estado,pcode1,municipio,pcode2,parroquia,fo,poblacion_2019,ham_2019_ambitos_ge,percent_pobre,pob_pobre,percent_urbana,area_km2,densidad_ppl_km2,razon_de_dependencia_total,razon_de_dependencia_de_menores_de_15_anos,percent_sin_agua_segura,percent_sin_saneamiento_mejorado,percent_analfabeto,promedio_de_personas_por_vivienda,percent_hogares_jefatura_femenina,percent_sin_servicio_electrico,ham_2019_x_violencia_envelope,ham_2019_x_mortalidad_y_salud_envelope,ham_2019_x_pobreza_envelope,promedio_de_edad,pob_menor_de_18,pob_18_y_mas,hogares_2019,matricula_total,pob_analfabeto,pob_sin_agua_segura,pob_sin_servicio_electrico,pob_sin_saneamiento_mejorado,pob_urbana,not_covered_pobre,coverage_percent,coverage_pobre_percent,percent_total_ben,org_present,pob_pobre_score,percent_pobre_score,poverty_score,gap_score
VE130102,32,0,0,0,0,32,0,0,0,1,LARA,VE13,ANDRES ELOY BLANCO,VE1301,QUEBRADA HONDA DE GUACHE,Zulia,8594.040004233253,CIUD MED Y PEQ OCCID,0.9833117306475013,8450.62034981646,0,186.097473712,46.18031525529027,0.7762,0.7226,0.9515,0.8751000000000001,0.2706,4.21,0.1174,0.1011,0.4900975549693047,0.1535483068717544,0.5817412204725236,22.9,4136.889766112817,4457.150238120437,2051.7406498042124,2121,2325.5472251455185,8177.229064027941,868.8574444279818,7520.644407704521,0,8418.62034981646,0.0037235107102407527,0.0037867042507352747,2.4351455115493053e-5,TRUE,0.04501061670466189,0.9832954097562111,0.5141530132304365,0.5142302507006823
VE130201,2492,0,539,0,0,1955,6883,44,0,5,LARA,VE13,CRESPO,VE1302,FREITEZ,Zulia,38136.20060851115,CIUD MED Y PEQ OCCID,0.4163485929385304,15877.953463375143,0.8279000000000001,458.112733088,83.24632312978184,0.5462,0.45020000000000004,0.22249999999999998,0.2486,0.1027,4.23,0.4104,0.0167,0.42125154252345504,0.09627408339141615,0.5182262689289258,29.2,13497.014692341567,24639.185916169583,9368.668681692621,10879,3916.5878024940953,8485.30463539373,636.8745501621362,9480.65947127587,31572.960483786384,13385.953463375143,0.06534473702773215,0.1569471787247751,0.0018963695671190214,TRUE,0.0847721543034479,0.38325090355338437,0.23401152892841615,0.22760067953767701
VE130202,275,0,275,0,0,0,0,0,0,1,LARA,VE13,CRESPO,VE1302,JOSE MARIA BLANCO,Zulia,20773.79939148885,CIUD MED Y PEQ OCCID,0.7052516375618019,14650.756039227874,0.7948000000000001,310.326445306,66.9417631198162,0.561,0.46909999999999996,0.5539000000000001,0.3677,0.08449999999999999,3.76,0.3122,0.012,0.42125154252345504,0.09627408339141615,0.5182262689289258,28.65,7624.645902558148,13149.1534889307,5603.5133512150205,4123,1755.3860485808077,11506.607482945676,249.2855926978662,7638.5260362504505,16511.01575635534,14375.756039227874,0.013237828806254341,0.018770362380185607,2.092703173987684e-4,TRUE,0.0782024669371591,0.6890109666360908,0.38360671678662495,0.38314936864178345
VE130301,5891,0,102,0,0,5789,130587,0,0,6,LARA,VE13,IRIBARREN,VE1303,CATEDRAL,Zulia,153926.52371841844,CIUD PRINC RESTO,0.21713869468259434,33423.404437246776,0.9795999999999999,62.4827822956,2463.503033366967,0.4536,0.3166,0.0574,0.0382,0.024300000000000002,3.98,0.43520000000000003,0.0046,0.5250265283372434,0.2520619496421669,0.44002263267024355,33.5,41308.22833080714,112618.2953876113,39955.13807454102,38097,3740.4145263575683,8835.382461437219,708.0620091047248,5879.993206043584,150786.42263456268,27532.404437246776,0.03827150680526347,0.1762537389349577,0.004482950690167799,TRUE,0.1787000955872062,0.17241743470967058,0.17555876514843838,0.1603249181730136
VE130302,513,0,91,0,0,422,0,0,0,5,LARA,VE13,IRIBARREN,VE1303,CONCEPCION,Zulia,134586.5242945906,CIUD PRINC RESTO,0.15827176574831123,21301.246846032842,1,23.1421804557,5815.637145869782,0.43320000000000003,0.2781,0.014100000000000001,0.015600000000000001,0.0269,4.2,0.4476,0.0012,0.5250265283372434,0.2520619496421669,0.44002263267024355,35.32,32144.910309868206,102441.61398472241,34681.22738524237,45801,3620.3775035244876,1897.6699925537278,161.50382915350872,2099.5497789956135,134586.5242945906,20788.246846032842,0.00381167433135517,0.02408309728101862,3.90384264820248e-4,TRUE,0.11380525143896494,0.11011571709398246,0.1119604842664737,0.11099078969173294
VE130303,292,0,70,0,0,223,0,0,0,2,LARA,VE13,IRIBARREN,VE1303,EL CUJI,Zulia,65072.8212581432,CIUD PRINC RESTO,0.7262038414892927,47256.132774209706,0.9813,88.6641455264,733.9248675076622,0.4468,0.3892,0.4949,0.102,0.0349,3.79,0.3544,0.0089,0.5250265283372434,0.2520619496421669,0.44002263267024355,28.27,21130.54620318601,43942.27505495719,16368.55272176104,12566,2271.0414619091976,32204.53924065507,579.1481091974745,6637.427768330606,63855.95950061592,46964.132774209706,0.004487280470622889,0.006179092169796861,2.222070279288741e-4,TRUE,0.25275232125888014,0.71118569727261,0.4819690092657451,0.48209993027142417
VE130304,3174,9,349,0,0,2673,0,200,260,7,LARA,VE13,IRIBARREN,VE1303,JUAN DE VILLEGAS,Zulia,400454.2165483874,CIUD PRINC RESTO,0.4419033324316754,176962.0527790482,0.9845999999999999,422.968958444,946.7697535572378,0.5069,0.43420000000000003,0.1381,0.0781,0.0371,4.05,0.375,0.0059,0.5250265283372434,0.2520619496421669,0.44002263267024355,28.41,139585.861208757,260868.3553396304,102359.00916254279,81175,14856.851433945174,55302.7273053323,2362.679877635486,31275.474312429058,394287.22161354223,173788.0527790482,0.007925999699435008,0.01793604871866514,0.0024153599542679673,TRUE,0.947120910388509,0.41029672015138896,0.678708815269949,0.6735919263348684
VE130305,327,0,239,0,0,43,0,87,87,3,LARA,VE13,IRIBARREN,VE1303,SANTA ROSA,Zulia,88137.01836925208,CIUD PRINC RESTO,0.22021582960415917,19409.166619021864,1,71.4950660325,1232.7706408325719,0.426,0.3153,0.04129999999999999,0.0417,0.021099999999999997,3.92,0.3822,0.0037,0.5250265283372434,0.2520619496421669,0.44002263267024355,32.64,23809.96740712486,64327.05096212722,23037.437802515484,17456,1859.6910875912185,3640.05885865011,326.10696796623273,3675.3136659978118,88137.01836925208,19082.166619021864,0.0037101323150055513,0.01684770945701116,2.488414319614446e-4,TRUE,0.10367617577533547,0.17567411540321795,0.1396751455892767,0.13917013831903308
VE130306,44,0,44,0,0,0,0,0,0,1,LARA,VE13,IRIBARREN,VE1303,TAMACA,Zulia,91157.3298957068,CIUD PRINC RESTO,0.999095371362245,91157.3298957068,0.9643,281.757729927,323.5308927259052,0.5068,0.4531,0.7904000000000002,0.11489999999999999,0.0349,3.62,0.3883,0.0040999999999999995,0.5250265283372434,0.2520619496421669,0.44002263267024355,27.46,32899.98819148188,58257.34170422493,25505.11143410658,19955,3181.3908133601676,72050.75354956668,373.74505257239787,10473.97720501671,87903.01321843007,91113.3298957068,4.8268197467324294e-4,4.8268197467324294e-4,3.348325078380295e-5,TRUE,0.487773300295292,1,0.743886650147646,0.7455399995745995
VE130307,1440,460,541,0,0,58,0,608,411,4,LARA,VE13,IRIBARREN,VE1303,UNION,Zulia,172591.72318641277,CIUD PRINC RESTO,0.4579579494137526,79039.75163623561,0.9822,149.323193869,1155.8266248833793,0.4927,0.4058,0.1946,0.08530000000000001,0.0453,4.43,0.41100000000000003,0.0070999999999999995,0.5250265283372434,0.2520619496421669,0.44002263267024355,29.6,56951.95282414703,115639.77036226574,41506.01452475834,30480,7818.405060344498,33586.34933207592,1225.4012346235306,14722.073987801012,169519.59051369462,77599.75163623561,0.008343389667908267,0.01821868072950567,0.0010958154801971873,TRUE,0.4229029711739766,0.4272880976829403,0.4250955344284585,0.422749395989624
VE130308,2157,0,2236,0,0,0,0,0,0,1,LARA,VE13,IRIBARREN,VE1303,AGUEDO FELIPE ALVARADO,Zulia,27838.988522730695,CIUD PRINC RESTO,0.9369206893790564,26082.92431833248,0.4054,1188.52794629,23.423082822436218,0.5907,0.5112,0.9227999999999998,0.6337,0.0984,3.94,0.29510000000000003,0.015700000000000002,0.5250265283372434,0.2520619496421669,0.44002263267024355,27.08,10817.741360930708,17021.247161799984,7275.041592804874,6897,2739.3564706367006,25689.81860877588,437.07211980687197,17641.56702685444,11285.925947115024,23925.92431833248,0.07748126330950555,0.08269778241406561,0.0016414402713787034,TRUE,0.1394035174239699,0.9341975273742212,0.5368005223990956,0.5314913482215385
VE130310,77,0,48,0,0,29,0,0,0,2,LARA,VE13,IRIBARREN,VE1303,JUAREZ,Zulia,17177.149220561518,CIUD PRINC RESTO,0.5736849801595592,9854.27250979562,0.7082999999999999,243.864844904,70.4371687002425,0.5721,0.4915,0.2674,0.1966,0.1348,3.63,0.31620000000000004,0.0276,0.5250265283372434,0.2520619496421669,0.44002263267024355,27.81,6444.339578209851,10732.809642351667,4827.146580608896,3385,2315.479714931693,4593.16970157815,474.0893184874979,3377.0275367623944,12166.574792923722,9777.27250979562,0.004482699603484197,0.00781386955997597,5.859568887165516e-5,TRUE,0.052524938101226736,0.5497676107228726,0.30114627441204966,0.30112948305529114
VE130401,935,0,152,0,0,783,13849,0,0,3,LARA,VE13,JIMENEZ,VE1304,JUAN BAUTISTA RODRIGUEZ,Zulia,51569.30005841758,CIUD MED Y PEQ OCCID,0.41523032345200384,21413.137143450174,0.8878,138.829780218,371.45704601303805,0.5355,0.466,0.0963,0.17679999999999998,0.073,4.15,0.34159999999999996,0.0137,0.568966963953119,0.08268478193083464,0.4443081178916782,27.72,18890.026307712113,32679.27375070547,13360.059417606464,15062,3764.5589042644833,4966.123595625613,706.4994108003209,9117.452250328228,45783.22459186313,20478.137143450174,0.018130942226108056,0.04366478362027382,7.115190791558126e-4,TRUE,0.11440424574818436,0.38206738487780345,0.2482358153129939,0.24613052088673198
VE130406,20,0,20,0,0,0,0,0,0,1,LARA,VE13,JIMENEZ,VE1304,TINTORERO,Zulia,12780.137796172163,CIUD MED Y PEQ OCCID,0.4817965622669828,6157.426455494082,0.32630000000000003,179.458974915,71.21481554335982,0.4999,0.43189999999999995,0.2642,0.43120000000000003,0.0698,3.66,0.3214,0.005,0.568966963953119,0.08268478193083464,0.4443081178916782,28.18,4446.065764329634,8334.07203184253,3565.8275889382853,2302,892.053618172817,3376.512405748685,63.900688980860814,5510.795417709437,4170.158962890977,6137.426455494082,0.0015649283535886672,0.003248110252645343,1.5219659447183157e-5,TRUE,0.032734216298713495,0.4525176544683753,0.24262593538354438,0.24269092903216163
VE130408,54,0,54,0,0,0,0,0,0,1,LARA,VE13,JIMENEZ,VE1304,CORONEL MARIANO PERAZA,Zulia,18215.75235898096,CIUD MED Y PEQ OCCID,0.4445126586851915,8097.132511041676,0.8395999999999999,124.486068535,146.32763789033544,0.4959,0.42840000000000006,0.14700000000000002,0.24479999999999996,0.0689,4.27,0.38079999999999997,0.0089,0.568966963953119,0.08268478193083464,0.4443081178916782,28.16,6288.23742289375,11927.514936087211,4500.145756804657,4191,1255.0653375337884,2677.7155967702015,162.12019599493055,4459.216177478538,15293.945680600413,8043.132511041676,0.0029644671785064225,0.006669027575671111,4.109308050739453e-5,TRUE,0.04311825240952893,0.41305829630895013,0.22808827435923953,0.228099321929217
VE130501,777,0,281,0,0,496,17749,0,0,3,LARA,VE13,MORAN,VE1305,BOLIVAR,Zulia,72991.4733613174,CIUD MED Y PEQ OCCID,0.43173066789556686,31512.65754496304,0.7805,667.396789167,109.36743260695107,0.49770000000000003,0.3992,0.0924,0.1793,0.0942,3.99,0.3675,0.0075,0.42052594815845734,0.09422096020083331,0.48240773360160805,30.07,23632.891023571196,49358.5823377462,19393.282692928642,19377,6875.7967906361,6744.412138585728,547.4360502098805,13087.371173684209,56969.844958508234,30735.65754496304,0.010645078996470556,0.024656758919534387,5.912837695230657e-4,TRUE,0.1684710896657387,0.3995304973366184,0.28400079350117857,0.2825179047149001
VE130601,843,0,117,0,0,726,18224,0,0,5,LARA,VE13,PALAVECINO,VE1306,CABUDARE,Zulia,81521.50404080437,CIUD PRINC RESTO,0.2930005843450005,23885.848320638997,1,44.8094830006,1819.2913325894165,0.4017,0.3071,0.031099999999999996,0.018500000000000003,0.022400000000000003,3.94,0.3821,0.0031,0.2724042538508711,0.03268771511262114,0.35100277407376507,32.22,21846.718912802484,59674.78512800188,21556.799993107372,15236,1826.0816905140182,2535.3187756690154,252.71666252649354,1508.1478247548812,81521.50404080437,23042.848320638997,0.010340829820534823,0.035292864154696596,6.415086456987701e-4,TRUE,0.12764167524535472,0.2527057411170936,0.19017370818122414,0.188364548539261
VE130602,342,0,245,0,0,97,0,0,0,3,LARA,VE13,PALAVECINO,VE1306,JOSE GREGORIO BASTIDAS,Zulia,100579.91908052315,CIUD PRINC RESTO,0.37746449496191187,37965.348359039635,0.9892,165.002715039,609.5652368917088,0.38909999999999995,0.3209,0.0525,0.0196,0.0177,3.57,0.3701,0.0031,0.2724042538508711,0.03268771511262114,0.35100277407376507,31.05,28156.786874134832,72423.13220638833,28572.606838637785,14759,1780.2645677252597,5280.445751727465,311.7977491496217,1971.3664139782536,99493.6559544535,37623.348359039635,0.0034002811209879642,0.009008214458239497,2.60256176546832e-4,TRUE,0.20301497028809537,0.3420979822826913,0.2725564762853933,0.2723719041556513
VE130603,368,0,346,0,0,22,0,0,0,3,LARA,VE13,PALAVECINO,VE1306,AGUA VIVA,Zulia,18992.57687867248,CIUD PRINC RESTO,0.4598299233274716,8733.355169911076,0.9995999999999999,49.116666038,386.6829410607497,0.4495,0.3711,0.05569999999999999,0.0225,0.0263,3.92,0.3525,0.0091,0.2724042538508711,0.03268771511262114,0.35100277407376507,30.07,5921.969327796253,13070.607550876226,5173.493391690935,2814,499.50477190908623,1057.886532142057,172.83244959591957,427.3329797701308,18984.97984792101,8365.355169911076,0.01937599107013445,0.04213729922125073,2.800417338281701e-4,TRUE,0.046524211289393214,0.4292692982019389,0.23789675474566604,0.23707358393621017
VE130701,779,0,264,0,0,515,5282,0,0,4,LARA,VE13,SIMON PLANAS,VE1307,SARARE,Zulia,18584.388721300485,CIUD MED Y PEQ OCCID,0.3988720318288532,7412.792889562348,0.8692,418.838642143,44.37123715761498,0.5204,0.44689999999999996,0.1551,0.1134,0.0658,3.69,0.3479,0.0199,0.5687240997235123,0.07953695279923441,0.4734336926722825,28.01,6605.137729735769,11979.250991564717,5227.886598514049,4787,1222.852777861572,2882.438690673705,369.8293355538797,2107.469680995475,16153.550676554381,6633.792889562348,0.041916901959070066,0.10508859637733549,5.92805735467784e-4,TRUE,0.039454703841858466,0.364754613788312,0.20210465881508521,0.20014768772927222
VE130703,140,0,140,0,0,0,0,0,0,1,LARA,VE13,SIMON PLANAS,VE1307,GUSTAVO VEGAS LEON,Zulia,13261.2847606279,CIUD MED Y PEQ OCCID,0.386583835380868,5126.5983248413895,0.7525,165.389915006,80.18194313810977,0.5339,0.46020000000000005,0.11209999999999999,0.10600000000000001,0.071,3.68,0.3468,0.0168,0.5687240997235123,0.07953695279923441,0.4734336926722825,27.59,4833.4146695715335,8427.870091056366,3674.936763309313,4748,941.5512180045807,1486.5900216663874,222.7895839785487,1405.6961846265574,9979.116782372494,4986.5983248413895,0.010557046509977155,0.027308556498685983,1.065376161302821e-4,TRUE,0.02721577369648114,0.3517494212469593,0.18948259747172022,0.18920400558984932
VE130801,1444,460,234,0,0,750,26631,0,0,5,LARA,VE13,TORRES,VE1308,TRINIDAD SAMUEL,Zulia,121517.47441910674,CIUD MED Y PEQ OCCID,0.3336270215362159,40541.51305504989,0.9346,927.21370847,131.05659818125784,0.48869999999999997,0.3924,0.0774,0.0669,0.046,3.93,0.37170000000000003,0.0043,0.3850767656073487,0.10131017036103637,0.47540923567380317,30.17,39365.46700850088,82152.00741060586,31924.37858858454,29061,5589.80382327891,9405.452520038862,522.525140002159,8129.519038638241,113570.23159209716,39097.51305504989,0.011883064611923446,0.03561781224196649,0.001098859412086624,TRUE,0.21680622858430473,0.2957026642357468,0.25625444641002576,0.25314881628477715
VE130802,24,0,24,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,ANTONIO DIAZ,Zulia,5052.089591148293,CIUD MED Y PEQ OCCID,0.6867478610123269,3469.511720363731,0,372.602324686,13.558932020635668,0.5951,0.43060000000000004,0.20769999999999997,0.4043,0.15839999999999999,3.5,0.2758,0.0359,0.3850767656073487,0.10131017036103637,0.47540923567380317,31.87,1658.0870058021858,3394.002585346107,1484.3826528133854,1305,800.2509912378896,1049.3190080815002,181.37001632222373,2042.5598217012548,0,3445.511720363731,0.004750509579649996,0.006917399892075859,1.8263591336619788e-5,TRUE,0.018344714553044688,0.6694275250963403,0.34388611982469247,0.34388805476729617
VE130803,59,0,59,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,CAMACARO,Zulia,8158.464838753205,CIUD MED Y PEQ OCCID,0.6587720001520194,5374.568199995371,0.8042,116.710812895,69.90324749167026,0.5498,0.4498,0.29230000000000006,0.4407,0.1014,4.08,0.2778,0.013000000000000001,0.3850767656073487,0.10131017036103637,0.47540923567380317,29.17,2858.2261719066255,5300.23866684658,2101.3714910268523,2956,827.2683346495751,2384.7192723675626,106.06004290379168,3595.4354544385374,6561.037423325328,5315.568199995371,0.007231752684616156,0.01097762607237002,4.489799536919032e-5,TRUE,0.02854325737919121,0.6398193186733346,0.3341812880262629,0.3341259068799095
VE130804,27,0,27,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,CASTANEDA,Zulia,4472.323114289569,CIUD MED Y PEQ OCCID,0.7446340837498769,3330.2442244424096,0,398.450547962,11.224286519781854,0.5573,0.42219999999999996,0.45799999999999996,0.5376,0.0984,3.54,0.2816,0.0152,0.3850767656073487,0.10131017036103637,0.47540923567380317,31.01,1487.7665038456348,2984.5566104439345,1281.3515908784238,1269,440.0765944460936,2048.3239863446224,67.97931133720145,2404.3209062420724,0,3303.2442244424096,0.006037130884781558,0.008107513497608625,2.0546540253697264e-5,TRUE,0.017599158955806743,0.7306913139184094,0.37414523643710806,0.37413637447546905
VE130805,107,0,107,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,CECILIO ZUBILLAGA,Zulia,7834.74309000135,CIUD MED Y PEQ OCCID,0.40639402132712116,3183.9927504105235,0.79989999999999994,83.0984673999,94.28264244992295,0.5395,0.4628,0.07079999999999999,0.06199999999999999,0.085,4.36,0.2949,0.0101,0.3850767656073487,0.10131017036103637,0.47540923567380317,27.95,2841.3069167453787,4993.436173255971,1891.572727027392,2195,665.9531626501148,554.6998107720955,79.13090520901363,485.75407158008363,6267.010997692079,3076.9927504105235,0.01365711661133506,0.033605604154156477,8.14251780424299e-5,TRUE,0.016816215280777407,0.3727154990274999,0.19476585715413866,0.19453845881020437
VE130806,20,0,20,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,CHIQUINQUIRA,Zulia,5381.451091620564,CIUD MED Y PEQ OCCID,0.9080250157957133,4886.492212472621,0.5642,346.694284766,15.522179995706459,0.5540999999999999,0.4235,0.5032,0.5285,0.12119999999999999,3.85,0.2758,0.0334,0.3850767656073487,0.10131017036103637,0.47540923567380317,30.75,1808.1044015652406,3573.346690055323,1444.9043907704763,725,652.2318723044123,2707.9461893034677,179.7404664601268,2844.0969019214676,3036.214705892322,4866.492212472621,0.003716469714115199,0.004092915557902786,1.5219659447183157e-5,TRUE,0.025930387937059495,0.903615838665536,0.4647731133012977,0.4648133900407196
VE130810,20,0,20,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,LAS MERCEDES,Zulia,11082.112130616651,CIUD MED Y PEQ OCCID,0.6916585174399339,7665.03724636542,0,1236.30645121,8.963887650808864,0.5593,0.47450000000000003,0.412,0.46130000000000004,0.0944,3.85,0.2781,0.015700000000000002,0.3850767656073487,0.10131017036103637,0.47540923567380317,28.02,4161.008819322628,6921.103311294023,2976.6609580353534,3152,1046.1513851302118,4565.83019781406,173.98916045068145,5112.1783258534615,0,7645.03724636542,0.0018047101278415888,0.0026092502041635255,1.5219659447183157e-5,TRUE,0.040805070564847876,0.6746247102663359,0.35771489041559185,0.35780920381794507
VE130811,16,0,16,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,MANUEL MORILLO,Zulia,4810.708217514505,CIUD MED Y PEQ OCCID,0.43035207238302253,2070.2982510374036,0,331.721381623,14.502255459016071,0.6149,0.4661,0.20759999999999998,0.2687,0.1097,3.48,0.2883,0.005699999999999999,0.3850767656073487,0.10131017036103637,0.47540923567380317,31.02,1671.6224099311833,3139.085807583322,1393.0186749426528,459,527.7346914613412,998.7030259560112,27.421036839832677,1292.6372980461474,0,2054.2982510374036,0.0033259136236424127,0.007728355077333701,1.2175727557746527e-5,TRUE,0.01085415527440072,0.3980714630386907,0.2044628091565457,0.20445910164865636
VE130813,460,460,0,0,0,0,0,0,0,1,LARA,VE13,TORRES,VE1308,MONTES DE OCA,Zulia,2965.3814545945215,CIUD MED Y PEQ OCCID,0.5627909881578806,1668.8899590963042,0,662.359770219,4.476995113417078,0.5447,0.3831,0.5844,0.4582,0.0802,3.48,0.34509999999999996,0.0943,0.3850767656073487,0.10131017036103637,0.47540923567380317,32.97,929.4310835244905,2035.950371070031,861.7540628795034,449,237.8235926584806,1732.9689220650384,279.6354711682634,1358.7377824952098,0,1208.8899590963042,0.15512338194712935,0.275632313258741,3.5005216728521265e-4,TRUE,0.008705253286506275,0.5382379721688751,0.2734716127276907,0.27226300749619325
VE130901,298,0,0,0,0,298,8435,0,0,2,LARA,VE13,URDANETA,VE1309,SIQUISIQUE,Zulia,25924.99079519721,CIUD MED Y PEQ OCCID,0.5655052237213373,14660.717719611606,0.4899,1266.5995304,20.468182857299762,0.5742,0.4648,0.36519999999999997,0.4998,0.0882,4.03,0.3456,0.0482,0.3750188883454275,0.103305041127047,0.5543354131007996,28.96,9480.849709193399,16444.141086003812,6672.5438164904435,6546,2286.584188136394,9467.80663840602,1249.5845563285054,12957.310399439566,12700.652990567112,14362.717719611606,0.01149470032040307,0.020326426420540524,2.2677292576302904e-4,TRUE,0.07825579586735099,0.5411105789224177,0.3096831873948843,0.3091640215017585
VE140101,4637,0,121,0,16,0,24226,0,4500,4,MERIDA,VE14,ALBERTO ADRIANI,VE1401,PRESIDENTE BETANCOURT,Tachira,26248.964041573396,CIUD GRAND ANDES,0.32188656312640107,8449.188820970547,0.9247,65.4961034307,400.771384351847,0.4829,0.395,0.102,0.0159,0.057699999999999994,3.85,0.3897,4e-4,0.29965451990988745,0.08314640491801066,0.3831886988441306,29.57,8560.057717382291,17688.906324191103,7155.242287893519,7555,1514.5652251987847,2677.394332240486,10.499585616629359,417.358528261017,24272.41704924292,3812.1888209705467,0.17665459073569031,0.5488100808554724,0.0035286780428294153,TRUE,0.04500295314801776,0.28327716934805564,0.1641400612480367,0.151801493857279
VE140102,100,0,100,0,0,0,0,0,0,1,MERIDA,VE14,ALBERTO ADRIANI,VE1401,PRESIDENTE PAEZ,Tachira,45560.885748524655,CIUD GRAND ANDES,0.35645722216551684,16240.506773319583,0.9316,210.003167887,216.9533260233502,0.5335,0.46009999999999995,0.07629999999999999,0.0189,0.0524,3.81,0.4028,8e-4,0.29965451990988745,0.08314640491801066,0.3831886988441306,27.99,16472.8706295551,29088.015118969557,12887.28150978663,11076,2387.390413222692,3476.2955826124307,36.44870859881973,861.100740647116,42444.52116332557,16140.506773319583,0.0021948651427005712,0.006157443323399437,7.609829723591579e-5,TRUE,0.08671304975603022,0.3198649695991553,0.20328900967759275,0.2033344052181938
VE140103,331,0,331,0,0,0,0,0,0,1,MERIDA,VE14,ALBERTO ADRIANI,VE1401,PRESIDENTE ROMULO GALLEGOS,Tachira,35879.18220393274,CIUD GRAND ANDES,0.42854969406416066,15376.012556767653,0.8959,129.697157604,276.6381535783648,0.5025,0.4238,0.1164,0.0554,0.055,3.95,0.3519,0.0029,0.29965451990988745,0.08314640491801066,0.3831886988441306,28.72,12366.298475290358,23512.88372864238,9307.821602188707,6092,1973.3550212163007,4176.336808537771,104.04962839140494,1987.7066940978737,32144.15933650334,15045.012556767653,0.00922540536511222,0.02152703757088911,2.5188536385088126e-4,TRUE,0.08208506030546779,0.39616391890327757,0.2391244896043727,0.23853026164650457
VE140104,60,0,60,0,0,0,0,0,0,1,MERIDA,VE14,ALBERTO ADRIANI,VE1401,GABRIEL PICON GONZALEZ,Tachira,5149.7640656913945,CIUD GRAND ANDES,0.47344939147471965,2438.152663139969,0.8531,39.6616217427,129.84249860229795,0.5371,0.4208,0.12890000000000001,0.0576,0.0915,3.89,0.3164,9e-4,0.29965451990988745,0.08314640491801066,0.3831886988441306,30.15,1754.1805232098036,3395.5835424815905,1352.104204822092,1095,471.2034120107626,663.8045880676208,4.634787659122255,296.6264101838243,4393.263724441328,2378.152663139969,0.011651019199060053,0.024608795383111552,4.565897834154947e-5,TRUE,0.012823429684753298,0.44368343996110826,0.22825343482293078,0.2281382506240656
VE140105,319,0,319,0,0,0,0,0,0,1,MERIDA,VE14,ALBERTO ADRIANI,VE1401,HECTOR AMABLE MORA,Tachira,12633.532125926093,CIUD GRAND ANDES,0.5522873578200201,6977.340077762064,0.8745999999999999,156.810117987,80.56579695306043,0.5667,0.4708,0.16759999999999997,0.0911,0.0931,3.73,0.3299,0.0015,0.29965451990988745,0.08314640491801066,0.3831886988441306,28.61,4566.263067055569,8067.269058870524,3459.327349055253,2746,1176.1818409237192,2117.379984305213,18.95029818888914,1150.914776671867,11049.28719733496,6658.340077762064,0.025250262303553206,0.04571942838456531,2.4275356818257137e-4,TRUE,0.03712354768066695,0.5271214722410549,0.2821225099608609,0.2813972998905356
VE140107,205,0,205,0,0,0,0,0,0,1,MERIDA,VE14,ALBERTO ADRIANI,VE1401,PULIDO MENDEZ,Tachira,36451.65062066159,CIUD GRAND ANDES,0.34380942007803544,12532.420860776821,0.9911,38.4223558481,948.7094119051562,0.5175,0.46340000000000003,0.03849999999999999,0.0231,0.048799999999999996,4.04,0.38380000000000003,0.0029,0.29965451990988745,0.08314640491801066,0.3831886988441306,26.85,13676.72403735275,22774.926583308843,9280.853068638313,6523,1778.8405502882854,1403.3885488954709,105.7097867999186,842.0331293372826,36127.2309301377,12327.420860776821,0.005623887986125971,0.01635757386999315,1.5600150933362737e-4,TRUE,0.06686215641694654,0.3064791890194847,0.1866706727182156,0.18636085815277045
VE140201,346,0,346,0,0,0,0,0,0,1,MERIDA,VE14,ANDRES BELLO,VE1402,CAPITAL LA AZULITA,Tachira,16855,RESTO,0.4147555869661607,6990.705418314639,0.4485,400.946651621,42.03801162038985,0.5389,0.41960000000000003,0.11950000000000001,0.0815,0.10310000000000001,3.26,0.2741,0.0106,0.18728783718328487,0.05696798513572903,0.4147555869661607,30.99,5634.906588003933,11220.093411996068,5214.656201713724,3656,1737.7505,2014.1725000000001,178.663,1373.6825000000001,7559.4675,6644.705418314639,0.020528033224562446,0.04949428981709485,2.6330010843626865e-4,TRUE,0.03719509778926942,0.3815649482972256,0.20938002304324752,0.20858227681298472
