pcode3,beneficiarios,educacion_ben,nutricion_ben,proteccionGBV_ben,proteccionGeneral_ben,proteccionNNA_ben,salud_ben,seguridad_alimentaria_ben,wash_ben,org_count,estado,pcode1,municipio,pcode2,parroquia,fo,poblacion_2019,ham_2019_ambitos_ge,percent_pobre,pob_pobre,percent_urbana,area_km2,densidad_ppl_km2,razon_de_dependencia_total,razon_de_dependencia_de_menores_de_15_anos,percent_sin_agua_segura,percent_sin_saneamiento_mejorado,percent_analfabeto,promedio_de_personas_por_vivienda,percent_hogares_jefatura_femenina,percent_sin_servicio_electrico,ham_2019_x_violencia_envelope,ham_2019_x_mortalidad_y_salud_envelope,ham_2019_x_pobreza_envelope,promedio_de_edad,pob_menor_de_18,pob_18_y_mas,hogares_2019,matricula_total,pob_analfabeto,pob_sin_agua_segura,pob_sin_servicio_electrico,pob_sin_saneamiento_mejorado,pob_urbana,not_covered_pobre,coverage_percent,coverage_pobre_percent,percent_total_ben,org_present,pob_pobre_score,percent_pobre_score,poverty_score,gap_score
VE010112,17144,15078,1254,0,0,804,1890,52,81,11,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA VEGA,Caracas,133109.29587257787,GRAN CARACAS,0.21017271974361065,27975.94273669666,1,12.6815224118,10496.318308653646,0.434,0.331,0.022799999999999997,0.0052,0.0216,3.52,0.4289,8e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,31.87,37596.60847954705,95512.6873930308,38070.52885512174,27844,2875.160790847682,3034.8919458947753,106.48743669806231,692.1683385374049,133109.29587257787,10831.94273669666,0.12879641416187426,0.6128122351891948,0.013046292078125403,TRUE,0.14953761560782228,0.16504500656668022,0.15729131108725125,0.11161173154565585
VE010113,2335,2265,70,0,0,0,852,0,0,4,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,MACARAO,Caracas,51423.047373297304,GRAN CARACAS,0.33816858186399595,17389.65900535303,1,101.752300093,505.3747908037209,0.47119999999999995,0.39289999999999997,0.09430000000000001,0.0066,0.0258,3.74,0.43320000000000003,6e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,29.31,16687.155537241866,34735.89183605544,13680.286578380277,10786,1326.7146222310705,4849.193367301937,30.85382842397838,339.3921126637622,51423.047373297304,15054.65900535303,0.04540765511326944,0.13427520339997584,0.0017768952404586336,TRUE,0.09286492943910454,0.3005092171543106,0.1966870732967076,0.19072891905751066
VE010114,1064,292,552,0,0,220,1075,0,0,5,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SAN AGUSTIN,Caracas,41348.20945716886,GRAN CARACAS,0.15691995345487586,6488.3591034613955,1,1.51601038926,27274.357583625715,0.42869999999999997,0.31989999999999996,0.0088,0.005,0.0151,3.58,0.4781,0.0011,0.8730914467352194,0.28271811240005584,0.1630146801336042,32.48,11172.05493078094,30176.15452638792,10880.82494941872,4789,624.3579628032497,363.86424322308596,45.483030402885746,206.7410472858443,41348.20945716886,5424.3591034613955,0.025732674134345764,0.16398599137837172,8.09685882590144e-4,TRUE,0.03450583347592039,0.10868502877203778,0.07159543112397909,0.06885207867178747
VE010115,1288,272,515,0,0,266,501,115,52,7,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SAN BENARDINO,Caracas,29394.88442878521,GRAN CARACAS,0.09109737177311482,2677.7967150367904,1,12.0602803696,2437.3301057643775,0.4364,0.2421,0.0026,7.000000000000001e-4,0.0177,3.31,0.4215,3e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,37.89,6067.470386609194,23327.414042176017,8778.810766597682,10763,520.2894543894982,76.42669951484154,8.818465328635563,20.57641910014965,29394.88442878521,1389.7967150367904,0.04381714795036629,0.4809924490411902,9.801460683985953e-4,TRUE,0.014106341846377813,0.03902180748779699,0.0265640746670874,0.02314267715203368
VE010116,841,558,135,0,0,0,763,130,63,5,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SAN JOSE,Caracas,42560.41395523743,GRAN CARACAS,0.11921050727579717,5073.648537471771,1,0.945085564068,45033.39758152857,0.3987,0.2584,0.0126,0.001,0.0128,3.5,0.47509999999999997,3e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,35.31,9649.27676255118,32911.137192686256,12507.844107287357,5350,544.7732986270391,536.2612158359916,12.768124186571228,42.560413955237436,42560.41395523743,4232.648537471771,0.019760146150940048,0.16575842685766232,6.399866797540518e-4,TRUE,0.026932311930440052,0.06877529830324278,0.04785380511684141,0.04568418137208014
VE010117,8877,3868,0,0,0,697,4137,0,2800,7,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SAN JUAN,Caracas,114457.68127286318,GRAN CARACAS,0.1428633857035347,16351.811866417293,1,3.34734515137,34193.57015694004,0.3865,0.2724,0.012199999999999999,0.002,0.018000000000000002,3.4,0.4559,7.000000000000001e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,33.86,27552.9353953725,86904.74587749067,32914.36114081941,15787,2060.2382629115373,1396.3837115289307,80.12037689100424,228.91536254572637,114457.68127286318,7474.811866417293,0.077557049044507,0.5428756196878239,0.006755245845632245,TRUE,0.08730891122830779,0.09380828336431493,0.09055859729631136,0.06694203697698231
VE010118,1360,1281,79,0,0,0,915,0,0,6,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SAN PEDRO,Caracas,62602.624849722284,GRAN CARACAS,0.05879429780609044,3680.67736885753,1,6.14254295656,10191.646243656316,0.39770000000000005,0.1887,0.0034000000000000002,0.001,0.014199999999999999,3.12,0.42840000000000006,NA,0.8730914467352194,0.28271811240005584,0.1630146801336042,39.8,10520.817407882396,52081.80744183988,20059.40528452838,21730,888.9572728660564,212.84892448905578,NA,62.60262484972228,62602.624849722284,2320.67736885753,0.021724328704502128,0.36949720491859883,0.0010349368424084548,TRUE,0.019475170228559054,0.00483390217581848,0.012154536202188766,0.00855851963847388
VE010119,3131,1150,1927,0,0,0,2102,48,68,5,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SANTA ROSALIA,Caracas,108650.2760356623,GRAN CARACAS,0.1744906631440523,18958.45871624705,1,6.82917235584,15909.728203410988,0.4228,0.3011,0.0109,0.005699999999999999,0.0222,3.15,0.4596,0.0011,0.8730914467352194,0.28271811240005584,0.1630146801336042,33.33,28016.109277169977,80634.16675849233,34193.19390030665,15685,2412.0361279917033,1184.288008788719,119.51530363922855,619.306573403275,108650.2760356623,15827.458716247049,0.02881723005445758,0.16515055611123022,0.0023826376864565235,TRUE,0.10126335290227272,0.12728096053169136,0.11427215671698204,0.1061983757390912
VE010120,235,215,20,0,0,0,31,0,0,3,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SANTA TERESA,Caracas,25485.309992638515,GRAN CARACAS,0.07785175985358181,1984.0762333409825,1,0.718121963942,35488.83236037168,0.4053,0.294,0.0026,0.0015,0.0092,3.42,0.47100000000000003,2e-4,0.8730914467352194,0.28271811240005584,0.1630146801336042,33.38,6481.210397031536,19004.09959560698,6042.753450921626,6927,234.46485193227434,66.26180598086013,5.097061998527703,38.22796498895777,25485.309992638515,1749.0762333409825,0.00922099829540548,0.11844302958273126,1.788309985044021e-4,TRUE,0.010392573715305033,0.025003335853596598,0.017697954784450815,0.017102113297459736
VE010121,19864,16141,349,0,0,0,5041,80,3589,13,DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,Caracas,371768.5043260948,GRAN CARACAS,0.18300569937803782,68035.75514092406,0.9992,56.3030208813,6602.993915901426,0.4339,0.33899999999999997,0.0125,0.0046,0.0202,3.58,0.4474,0.0024,0.8730914467352194,0.28271811240005584,0.1630146801336042,31.32,107250.00789649267,264518.49642960215,104794.43406840165,70007,7509.723787387115,4647.106304076186,892.2444103826275,1710.1351199000362,371471.08952263393,48171.755140924055,0.05343109964629063,0.2919641291384983,0.015116165762942313,TRUE,0.36399409854154907,0.13629283515367735,0.25014346684761324,0.1979094319004596
